en_address,county,town,name,addresses,停車場,廁所,ATM,座位區,ibon WiFi,OPEN! STORE,千禧血壓站,冰塊杯販售,霜淇淋,台塑有機蔬菜,美妝,Mister Donut甜甜圈,ibon,現萃茶,現蒸地瓜,統一生機,OPEN!兒童閱覽室,K·Seren,21TOGO,烘培坊,!+? CAFE RESERVE,博客來,糖果屋,日本7-ELEVEN限定,國際精品專櫃,精品咖啡,CITY CAFE氮氣飲品,天素地蔬,嚴選素材冷凍鮮物,光合帕尼尼,冷凍交貨便,酒BAR,寵物生活專區,酷聖石,甜點專櫃
"No. 327, Beining Road, Zhongzheng District, Keelung City",基隆市,中正區,八斗子,基隆市中正區北寧路327號1樓,,1,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 382-5, Beining Road, Zhongzheng District, Keelung City",基隆市,中正區,北寧,基隆市中正區北寧路382號382-5號,,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 27, Fengyu Street, Zhongzheng District, Keelung City",基隆市,中正區,正濱,基隆市中正區豐稔街27號29號,,,1,1,1,,,1,,,,,1,1,,1,,,,,,,,1,1,,,1,,,1,,,,
"No. 54 Zhongzheng Road, Zhongzheng District, Keelung City",基隆市,中正區,旭東,基隆市中正區中正路54號,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 127, No. 127, Zhongzheng District, Keelung City",基隆市,中正區,和平島,基隆市中正區和一路125號127號,,,1,1,1,,,1,,,,,1,,1,1,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 203 Xinfeng Street, Zhongzheng District, Keelung City",基隆市,中正區,和豐,基隆市中正區新豐街203號1樓,,1,1,1,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,1,,
"No. 43, Yi Road, Zhongzheng District, Keelung City",基隆市,中正區,哨船頭,基隆市中正區義一路43號1樓,,1,1,1,1,,1,1,,,1,,1,1,,1,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 609 Zhongzheng Road, Zhongzheng District, Keelung City",基隆市,中正區,海洋,基隆市中正區中正路609號1樓,,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,1,,1,1,1,,1,,1,1,1,1,1,
"1st Floor, No. 389, Xinfeng Street, Zhongzheng District, Keelung City",基隆市,中正區,財豐,基隆市中正區新豐街389號1樓,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,1,,,,
"No. 185, No. 185, Yizhou Road, Zhongzheng District, Keelung City",基隆市,中正區,基義,基隆市中正區義二路181號185號1樓,,1,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,1,,1,,,,
