county,town,name,addresses,lon,lat,geoAddress,X.U.505C..U.8ECA..U.5834.,X.U.5EC1..U.6240.,ATM,X.U.5EA7..U.4F4D..U.5340.,ibon.WiFi,OPEN..STORE,X.U.5343..U.79A7..U.8840..U.58D3..U.7AD9.,X.U.51B0..U.584A..U.676F..U.8CA9..U.552E.,X.U.971C..U.6DC7..U.6DCB.,X.U.53F0..U.5851..U.6709..U.6A5F..U.852C..U.83DC.,X.U.7F8E..U.599D.,Mister.Donut.U.751C..U.751C..U.5708.,ibon,X.U.73FE..U.8403..U.8336.,X.U.73FE..U.84B8..U.5730..U.74DC.,X.U.7D71..U.4E00..U.751F..U.6A5F.,OPEN..U.5152..U.7AE5..U.95B1..U.89BD..U.5BA4.,K.Seren,X21TOGO,X.U.70D8..U.57F9..U.574A.,X....CAFE.RESERVE,X.U.535A..U.5BA2..U.4F86.,X.U.7CD6..U.679C..U.5C4B.,X.U.65E5..U.672C.7.ELEVEN.U.9650..U.5B9A.,X.U.570B..U.969B..U.7CBE..U.54C1..U.5C08..U.6AC3.,X.U.7CBE..U.54C1..U.5496..U.5561.,CITY.CAFE.U.6C2E..U.6C23..U.98F2..U.54C1.,X.U.5929..U.7D20..U.5730..U.852C.,X.U.56B4..U.9078..U.7D20..U.6750..U.51B7..U.51CD..U.9BAE..U.7269.,X.U.5149..U.5408..U.5E15..U.5C3C..U.5C3C.,X.U.51B7..U.51CD..U.4EA4..U.8CA8..U.4FBF.,X.U.9152.BAR,X.U.5BF5..U.7269..U.751F..U.6D3B..U.5C08..U.5340.,X.U.9177..U.8056..U.77F3.,X.U.751C..U.9EDE..U.5C08..U.6AC3.
基隆市,中正區,八斗子,基隆市中正區北寧路327號1樓,121.795886,25.1396942,"1樓, no. 327號, beining rd, zhongzheng district, keelung city, taiwan 202006",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,北寧,基隆市中正區北寧路382號382-5號,121.7959997,25.1395069,"no. 382, beining rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,正濱,基隆市中正區豐稔街27號29號,121.7610316,25.1409,"no. 27, fengren st, zhongzheng district, keelung city, taiwan 202",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,旭東,基隆市中正區中正路54號,121.745304,25.1338523,"no. 54, zhongzheng rd, zhongzheng district, keelung city, taiwan 202",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,和平島,基隆市中正區和一路125號127號,121.7655171,25.1548834,"no. 125, heyi rd, zhongzheng district, keelung city, taiwan 202",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,和豐,基隆市中正區新豐街203號1樓,121.7891555,25.1379399,"1, no. 203, xinfeng st, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
基隆市,中正區,哨船頭,基隆市中正區義一路43號1樓,121.7458129,25.1333852,"1, no. 43, yiyi rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,海洋,基隆市中正區中正路609號1樓,121.7710719,25.1516623,"1, no. 609, zhongzheng rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,NA
基隆市,中正區,財豐,基隆市中正區新豐街389號1樓,121.7854596,25.1353744,"202, taiwan, keelung city, zhongzheng district, xinfeng st, 389號1樓",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,基義,基隆市中正區義二路181號185號1樓,121.7476728,25.1346176,"1, no. 181, yier rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA
