county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
基隆市,中正區,八斗子,基隆市中正區北寧路327號1樓,25.1396942,121.795886,1,1,1,1,1
基隆市,中正區,北寧,基隆市中正區北寧路382號382-5號,25.1395069,121.7959997,1,1,1,1,1
基隆市,中正區,正濱,基隆市中正區豐稔街27號29號,25.1409,121.7610316,1,1,1,1,1
基隆市,中正區,基義,基隆市中正區中正路54號,25.1338523,121.745304,1,1,1,1,1
基隆市,中正區,和平島,基隆市中正區和一路125號127號,25.1548834,121.7655171,1,1,1,1,1
基隆市,中正區,和豐,基隆市中正區新豐街203號1樓,25.1379399,121.7891555,,,1,1,1
基隆市,中正區,基隆市,基隆市中正區義一路43號1樓,25.1333852,121.7458129,1,1,1,1,1
基隆市,中正區,海洋,基隆市中正區中正路609號1樓,25.1516623,121.7710719,1,1,1,1,1
基隆市,中正區,財豐,基隆市中正區新豐街389號1樓,25.1353744,121.7854596,1,1,1,1,1
基隆市,中正區,基義,基隆市中正區義二路181號185號1樓,25.1346176,121.7476728,1,1,1,1,1
基隆市,中正區,港都,基隆市中正區義二路8號1樓,25.1305965,121.7452965,1,1,1,,1
基隆市,中正區,翔濱,基隆市中正區建國里祥豐街339號,25.1447115,121.7677076,,1,1,1,1
基隆市,中正區,新財發,基隆市中正區新豐街303巷11弄1號3號1樓,25.1342203,121.7882045,1,,1,1,1
基隆市,基隆市,漁港,基隆市中正區中正路672號,25.1514471,121.7676871,1,1,1,1,1
基隆市,中正區,龍騰,基隆市中正區義一路22號24號,25.1321321,121.7454594,1,1,1,1,1
基隆市,中正區,豐勝,基隆市中正區中正路322號,25.1425137,121.760896,,,1,1,1
基隆市,中正區,觀山海,基隆市中正區砂子里觀海街49號51號1樓,25.1383926,121.7945895,1,1,1,1,1
基隆市,七堵區,七堵,基隆市七堵區明德一路174號,25.0979758,121.7144211,1,1,1,1,1
基隆市,七堵區,七堵站,基隆市七堵區東新街2號1樓,25.0930062,121.7138534,1,1,1,,1
基隆市,七堵區,六工,基隆市七堵區工建路1之22號1之23號1樓,25.091164,121.701754,1,1,1,1,1
基隆市,七堵區,巧龍,基隆市七堵區百三街61號,25.0819689,121.6960303,1,1,1,1,1
基隆市,七堵區,正光,基隆市七堵區自治街9號11號,25.0962819,121.7131278,1,1,1,1,1
基隆市,安樂區,永富,基隆市安樂區基金三路80�01號103號1樓,25.0984379,121.7122135,1,,1,1,1
基隆市,七堵區,華新一,基隆市七堵區華新一路22號26號1樓,25.0875714,121.6700054,1,,1,1,1
基隆市,七堵區,新五福,基隆市七堵區福五街80號82號1樓,25.0848413,121.6986646,,,1,1,1
基隆市,七堵區,福二,基隆市七堵區福二街157號1樓,25.0843476,121.6958759,1,1,1,1,1
基隆市,七堵區,福聚,基隆市七堵區實踐路286號福二街229號1樓,25.0874214,121.6953072,1,1,1,1,1
基隆市,基隆市,篤勝,基隆市中正區中正路672號,25.0839658,121.6919786,1,1,1,1,1
基隆市,七堵區,篤鑫,基隆市七堵區堵南街22-1號1樓,25.0825153,121.686276,,1,1,1,1
基隆市,暖暖區,晨曦,基隆市暖暖區東勢街6之52號6之53號1樓,25.098508,121.7378688,1,1,1,1,1
基隆市,暖暖區,新暖東,基隆市暖暖區暖暖街177號1樓,25.0993604,121.7359885,1,1,1,1,1
基隆市,暖暖區,暖碇,基隆市暖暖區碇內街9號11號,25.0963475,121.7550335,1,,1,1,1
基隆市,暖暖區,暖鑫,基隆市暖暖區暖暖街554號,25.0926751,121.7365064,1,1,1,1,1
基隆市,暖暖區,源遠,基隆市暖暖區源遠路294號296號298號1樓,25.0993844,121.7583237,1,1,1,1,1
基隆市,暖暖區,碇內,基隆市暖暖區源遠路158號160號,25.0982009,121.7489396,1,1,1,1,1
基隆市,安樂區,大武崙,基隆市安樂區基金一路381號383號1樓,25.141882,121.7039683,1,1,1,1,1
基隆市,安樂區,大武嶺,基隆市安樂區大武嶺里基金一路135巷21弄2-1號,25.1401688,121.7096558,1,1,1,1,1
基隆市,安樂區,安一,基隆市安樂區安一路172及174號,25.1326822,121.7318827,1,1,1,1,1
基隆市,安樂區,武訓,基隆市安樂區武訓街102號1樓,25.1511697,121.6976494,1,1,1,1,1
基隆市,三樂區,武晴,基隆市安樂區基金一路214之17號,25.1422863,121.7090207,1,1,1,1,1
基隆市,安樂區,基金,基隆市安樂區麥金路197號1樓,25.1208158,121.7216395,1,,1,,1
基隆市,安樂區,麥金,基隆市安樂區基金三路80�01號103號1樓,25.1566969,121.6957187,1,1,1,1,1
七堵區,安樂區,新壯觀,基隆市安樂區麥金路64號66號1樓,25.1164366,121.7263651,1,1,1,1,1
基隆市,安樂區,新和慶,基隆市安樂區中和路166之5號166之6號1樓,25.1490596,121.7182252,1,1,1,1,1
基隆市,安樂區,新武嶺,基隆市安樂區基金一路168之26號,25.1406553,121.7115223,1,1,1,,1
基隆市,安樂區,新金樂,基隆市安樂區麥金路427號,25.1250004,121.7195952,1,1,1,1,1
基隆市,安樂區,新長基,基隆市安樂區安樂路二段161號,25.1207533,121.7235763,1,1,1,,1
基隆市,安樂區,瑞金,基隆市安樂區基金三路75-1號,25.1546638,121.6965634,1,1,1,1,1
基隆市,安樂區,樂三,基隆市安樂區樂利三街257號259號1樓,25.1267105,121.7157224,1,1,1,1,1
基隆市,安樂區,樂添,基隆市安樂區樂利二街62巷291號2樓292號293號1樓,25.1214445,121.7149383,1,1,1,1,1
基隆市,三樂區,武晴,基隆市安樂區基金一路214之17號,25.145246,121.738584,1,1,1,1,1
基隆市,中山區,港富,基隆市中山區中華路93號,25.147528,121.7380211,1,1,1,1,1
基隆市,中山區,新大慶,基隆市中山區中和路168巷7弄13號15號1樓,25.1499139,121.7160376,1,1,1,1,1
基隆市,中山區,聖心,基隆市中山區西定路38號40號,25.132367,121.7355286,,1,1,1,1
基隆市,中山區,德欣,基隆市中山區復興路328號之6號之7號1樓,25.1494931,121.7270327,1,1,1,1,1
仁愛區,仁愛區,德復,基隆市中山區復興路193號195號197號1樓,25.146257,121.726218,1,1,1,1,1
新和慶,仁愛區,仁五,基隆市仁愛區仁五路63號1樓,25.1276609,121.740107,1,1,1,1,1
基隆市,仁愛區,孝三,基隆市仁愛區孝三路89號91號1樓,25.130742,121.739488,1,1,1,1,1
基隆市,仁愛區,忠三,基隆市仁愛區忠三路52之1號54號1樓,25.1296965,121.7388743,,1,1,1,1
基隆市,仁愛區,崁頂,基隆市仁愛區仁四路60號62號1樓,25.1284439,121.7410029,1,1,1,1,1
基隆市,仁愛區,聖心,基隆市仁愛區仁二路236號,25.129963,121.743219,1,1,1,,1
基隆市,基隆市,基隆南站,基隆市仁愛區港西街5號1樓,25.1324216,121.7394049,1,1,1,1,1
基隆市,仁愛區,港隆,基隆市仁愛區孝四路23號1樓,25.1314456,121.7390218,,1,1,1,1
基隆市,仁愛區,愛六,基隆市仁愛區仁一路281號1樓,25.128421,121.7472758,1,1,1,,1
基隆市,仁愛區,愛鑫,基隆市仁愛區愛二路65號,25.1298291,121.7424769,1,1,1,1,1
基隆市,仁愛區,新仁二,基隆市仁愛區仁二路11號13號1樓,25.1273916,121.7506033,1,1,1,1,1
基隆市,仁愛區,新華成,基隆市仁愛區成功一路115號117號,25.1274842,121.73693,1,1,1,1,1
基隆市,仁愛區,新福成,基隆市仁愛區仁二路84號86號1樓,25.1277534,121.7484141,1,1,1,1,1
基隆市,仁愛區,新廟口,基隆市仁愛區仁二路228號1樓,25.1295298,121.7437774,,1,1,1,1
基隆市,仁愛區,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓,25.1289152,121.742702,1,1,1,1,1
